FILE_DATE active resolved deaths new act.p res.p death.p new.p beta Date roll_mean roll_geo DailyMean
2020-10-23 6474 58799 3080 826 0.000444337680164722 0.00403562113932739 0.000211393273850378 5.66918325326012e-05 0.136557946551015 2020-10-23 0.141492038152024 0.133736001436466 16
2020-10-24 6821 59424 3086 978 0.0004681537405628 0.00407851750171585 0.000211805078929307 6.7124227865477e-05 0.154840462320154 2020-10-24 0.138215130961201 0.135064419434774 6.6
2020-10-25 7120 60160 3093 1042 0.000488675360329444 0.00412903225806452 0.000212285518188058 7.15168153740563e-05 0.158316218594935 2020-10-25 0.135974140756569 0.140999531283232 5.2
2020-10-26 7286 60839 3099 851 0.000500068634179822 0.00417563486616335 0.000212697323266987 5.840768702814e-05 0.124269316456348 2020-10-26 0.134606325550171 0.141070897218737 6.3
2020-10-27 7418 61530 3103 827 0.000509128345916266 0.00422306108442004 0.000212971859986273 5.67604667124228e-05 0.118268598973629 2020-10-27 0.132856919110016 0.137543268405119 NA
2020-10-28 7474 62303 3108 834 0.000512971859986273 0.0042761153054221 0.000213315030885381 5.72409059711736e-05 0.118383124100999 2020-10-28 0.130455219550922 0.135119819218172 NA
2020-10-29 7578 63123 3118 934 0.000520109814687714 0.00433239533287577 0.000214001372683596 6.41043239533288e-05 0.13160861185412 2020-10-29 0.126504205339798 0.133771021843136 6.8
2020-10-30 7669 63919 3127 896 0.000526355525051476 0.00438702814001373 0.00021461908030199 6.14962251201098e-05 0.124312101469926 2020-10-30 0.126553104034048 0.131987548722261 0.7
2020-10-31 7877 64717 3136 1015 0.000540631434454358 0.00444179821551132 0.000215236787920384 6.96636925188744e-05 0.138028565406497 2020-10-31 0.129003919846435 0.129838108382658 2.9
2020-11-01 7981 65581 3145 977 0.0005477693891558 0.00450109814687715 0.000215854495538778 6.70555936856555e-05 0.130659119117068 2020-11-01 0.130140424190299 0.126325183943349 6.3
2020-11-02 8096 66407 3152 948 0.000555662319835278 0.00455778997940975 0.000216334934797529 6.50652024708305e-05 0.124611607316097 2020-11-02 0.129515972849288 0.126374833021756 3.3
2020-11-03 8295 67244 3166 1050 0.000569320521619767 0.00461523678792038 0.000217295813315031 7.20658888126287e-05 0.135424309660339 2020-11-03 0.129938259354672 0.128844082541444 6.2
2020-11-04 8321 68189 3182 987 0.000571105010295127 0.00468009608785175 0.000218393960192176 6.7741935483871e-05 0.126338654508046 2020-11-04 0.130227572732222 0.130046804322758 11
2020-11-05 8358 69137 3195 998 0.000573644474948524 0.00474516129032258 0.000219286204529856 6.8496911461908e-05 0.127237452467044 2020-11-05 0.134099182779817 0.129420795266247 13.9
2020-11-06 8398 70086 3209 1003 0.000576389842141386 0.00481029512697323 0.000220247083047358 6.88400823610158e-05 0.127268107007616 2020-11-06 0.136295625404556 0.129856020426575 13.9
2020-11-07 8667 70938 3220 1132 0.000594852436513384 0.00486877144818119 0.000221002059025395 7.76938915579959e-05 0.140053759049347 2020-11-07 0.138070802919716 0.130126507686548 14.9
2020-11-08 9105 71815 3233 1328 0.000624914207275223 0.00492896362388469 0.000221894303363075 9.11461908030199e-05 0.157760389450228 2020-11-08 0.140614020260932 0.13367795996487 13.8
2020-11-09 9514 72636 3245 1242 0.000652985586822238 0.00498531228551819 0.000222717913520933 8.52436513383665e-05 0.139986705689273 2020-11-09 0.143958108661334 0.135918363603748 15
2020-11-10 10106 73417 3260 1388 0.000693617021276596 0.00503891557995882 0.000223747426218257 9.5264241592313e-05 0.147850552266462 2020-11-10 0.144060097783314 0.137633690261757 16
2020-11-11 10631 74303 3275 1426 0.00072964996568291 0.00509972546328071 0.00022477693891558 9.78723404255319e-05 0.144141175896553 2020-11-11 0.143918588175461 0.140250230888934 12.4
2020-11-12 11271 75220 3293 1575 0.000773575840768703 0.00516266300617708 0.000226012354152368 0.000108098833218943 0.150646071269859 2020-11-12 0.136620280140511 0.143674976302434 7.2
2020-11-13 11630 76238 3312 1396 0.00079821551132464 0.00523253260123542 0.000227316403568977 9.58133150308854e-05 0.127982030861474 2020-11-13 0.134236689580429 0.143789837587546 7.3
2020-11-14 12188 77241 3332 1581 0.000836513383665065 0.00530137268359643 0.000228689087165408 0.000108510638297872 0.139063191794379 2020-11-14 0.127638838342457 0.143644110742689 5.5
2020-11-15 12345 78303 3361 1248 0.000847288949897049 0.00537426218256692 0.000230679478380233 8.56554564172958e-05 0.106672233205574 2020-11-15 0.123793052562483 0.13583439159032 8.5
2020-11-16 12830 79295 3371 1487 0.000880576527110501 0.0054423472889499 0.000231365820178449 0.000102059025394647 0.123301571768704 2020-11-16 0.116674756138576 0.133393821975833 4
2020-11-17 12932 80430 3383 1249 0.000887577213452299 0.00552024708304736 0.000232189430336307 8.57240905971174e-05 0.101665593600658 2020-11-17 0.115430301577284 0.126444560642698 -0.2
2020-11-18 12822 81925 3415 1417 0.000880027453671929 0.00562285518188058 0.000234385724090597 9.72546328071379e-05 0.117220675436732 2020-11-18 0.114462378562842 0.122764807930541 -0.5
2020-11-19 12628 83301 3443 1210 0.000866712422786548 0.00571729581331503 0.000236307481125601 8.30473575840769e-05 0.100817996302509 2020-11-19 0.117299654428644 0.115919575428029 9.2
2020-11-20 12623 84716 3451 1418 0.00086636925188744 0.00581441317776253 0.000236856554564173 9.73232669869595e-05 0.119270848932433 2020-11-20 0.118321412405882 0.114758075129866 12.2
2020-11-21 12827 86079 3472 1588 0.000880370624571036 0.0059079615648593 0.000238297872340426 0.000108991077556623 0.132287730693284 2020-11-21 0.11542768559875 0.11394212335108 4.5
2020-11-22 12918 87508 3486 1534 0.000886616334934798 0.0060060398078243 0.000239258750857927 0.000105284831846259 0.126533164266186 2020-11-22 0.114934737306117 0.11675556545546 1.7
2020-11-23 13004 88992 3505 1589 0.000892518874399451 0.00610789293067948 0.000240562800274537 0.000109059711736445 0.13045387760937 2020-11-23 0.117974032332187 0.117699855992645 1.9
2020-11-24 12917 90074 3519 1009 0.000886547700754976 0.0061821551132464 0.000241523678792038 6.92518874399451e-05 0.0814095059507361 2020-11-24 0.12249400639455 0.114022452235396 1.1
2020-11-25 12779 91550 3554 1373 0.000877076183939602 0.00628345916266301 0.000243925875085793 9.42347288949897e-05 0.113770037388301 2020-11-25 0.124265867189875 0.113536791516435 5.1
2020-11-26 12871 92915 3575 1478 0.000883390528483185 0.00637714481811942 0.000245367192862045 0.000101441317776253 0.122093061485001 2020-11-26 0.125114657720867 0.116685154613441 9.3
2020-11-27 13255 94366 3595 1855 0.00090974605353466 0.00647673301304049 0.000246739876458476 0.000127316403568977 0.150910667368969 2020-11-27 0.125245172951928 0.120673956776402 7.3
2020-11-28 13538 95876 3624 1822 0.000929169526424159 0.00658037062457104 0.000248730267673301 0.000125051475634866 0.14469075626056 2020-11-28 0.131495800046724 0.122228850465897 5.6
2020-11-29 13779 97319 3648 1708 0.000945710363761153 0.00667940974605353 0.000250377487989019 0.000117227179135209 0.132474697983131 2020-11-29 0.133299497961115 0.123032731429897 6.6
2020-11-30 14197 98639 3656 1746 0.000974399450926561 0.00677000686341798 0.000250926561427591 0.000119835277968428 0.1313674842268 2020-11-30 0.134674374326656 0.123155454172816 3.6
